0,300003.SZ
1,600426.SH
2,002123.SZ
3,600276.SH
4,601012.SH
5,002032.SZ
6,600845.SH
7,000333.SZ
8,002683.SZ
9,002236.SZ
10,600050.SH
11,300782.SZ
12,600048.SH
13,601628.SH
14,600438.SH
15,300463.SZ
16,600383.SH
17,002572.SZ
18,300166.SZ
19,600030.SH
20,300498.SZ
21,603063.SH
22,0291.HK
23,002241.SZ
24,002007.SZ
25,600031.SH
26,000708.SZ
27,000063.SZ
28,2328.HK
29,000661.SZ
30,300014.SZ
31,000568.SZ
32,002624.SZ
33,018007.SH
34,300383.SZ
35,600201.SH
36,300207.SZ
37,600036.SH
38,002035.SZ
39,000968.SZ
40,601318.SH
41,300036.SZ
42,601166.SH
43,601088.SH
44,300651.SZ
45,603345.SH
46,002332.SZ
47,002212.SZ
48,019611.SH
49,000895.SZ
50,300122.SZ
51,300357.SZ
52,002768.SZ
53,300012.SZ
54,601818.SH
55,300753.SZ
56,000651.SZ
57,002384.SZ
58,002142.SZ
59,300144.SZ
60,600114.SH
61,000961.SZ
62,000166.SZ
63,600855.SH
64,000671.SZ
65,603456.SH
66,002396.SZ
67,002179.SZ
68,600529.SH
69,002050.SZ
70,600016.SH
71,0268.HK
72,300601.SZ
73,601139.SH
74,1299.HK
75,002311.SZ
76,600519.SH
77,600837.SH
78,0939.HK
79,601877.SH
80,601098.SH
81,600673.SH
82,000876.SZ
83,600884.SH
84,300590.SZ
85,300129.SZ
86,002353.SZ
87,000878.SZ
88,002555.SZ
89,002705.SZ
90,000031.SZ
91,300015.SZ
92,000002.SZ
93,1398.HK
94,300146.SZ
95,300033.SZ
96,603517.SH
97,002157.SZ
98,1797.HK
99,000725.SZ
100,002891.SZ
101,600867.SH
102,300450.SZ
103,2020.HK
104,600887.SH
105,600176.SH
106,002273.SZ
107,002271.SZ
108,6098.HK
109,600763.SH
110,603501.SH
111,600745.SH
112,002675.SZ
113,601688.SH
114,002044.SZ
115,000425.SZ
116,002475.SZ
117,601398.SH
118,002405.SZ
119,002410.SZ
120,603816.SH
